PRA,Crime Count,Lat,Lon,Mean Pixel Values,Median Pixel Values,Gray_ratio
101,55,39.00980979327272,-77.03894397472727,63.36363636363637,54.0,0.3189100542449855
102,6,39.01595764333334,-77.01865044833333,96.11904761904762,88.5,0.7208013640238704
103,3,39.01287156000001,-77.02413469333332,58.032467532467535,57.5,0.029015544041450778
104,45,39.01019765911111,-77.01938471866669,54.85436893203884,55.0,0.0
105,12,39.00657461416667,-77.0243821975,49.66412213740458,47.0,0.0
106,9,39.00346751888889,-77.02577518888889,55.542857142857144,55.0,0.02667018748349617
107,32,38.99967531,-77.0274108971875,71.72727272727273,66.0,0.2671306209850107
108,288,38.997547165729166,-77.02865894215276,149.8048780487805,156.0,7.9273255813953485
109,434,38.99608002626728,-77.02673128230416,176.71428571428572,184.0,inf
110,46,38.99405810130433,-77.02245509630437,140.64,142.0,14.90950226244344
111,100,38.99112417959999,-77.0232845266,145.43478260869566,151.0,16.513089005235603
112,48,38.98937069562499,-77.01591342729166,86.99115044247787,82.0,0.575825585123437
113,69,38.99211367826087,-77.01203978289857,75.81132075471699,68.0,0.6162510056315366
114,36,38.99480219694445,-77.01360997305555,68.83018867924528,66.5,0.2579310344827586
115,25,38.991874503999995,-77.0091914804,50.57142857142857,48.0,0.08588957055214724
116,18,38.99831541277777,-77.01435681999999,70.71111111111111,65.0,0.4227587748714509
117,24,39.00457092083333,-77.02135988416667,59.279411764705884,52.0,0.17010159651669085
118,85,38.99947375399999,-77.02236824035295,85.14285714285714,81.0,0.6162067315361301
119,34,14318.466570507648,38411.87235945618,69.825,51.0,0.7554996857322439
120,68,39.012187354411765,-77.01427045735295,79.24705882352941,77.0,0.1735191637630662
121,6,39.01547713333334,-77.00597470166666,86.31428571428572,83.0,0.3390957446808511
122,17,39.01182889588235,-77.00549975588234,72.08771929824562,72.0,0.0
123,141,39.00366831312057,-77.01122331219858,61.25316455696203,58.0,0.15141180203045684
124,17,39.00631421529411,-77.00592054588236,63.58196721311475,63.0,0.01531413612565445
125,16,39.00834193125,-77.00061047124998,66.87341772151899,69.0,0.1087093389296957
126,133,38.99808440842105,-77.00623772413535,60.72631578947368,58.0,0.15866639887527617
127,138,38.998932150797096,-77.00178204985507,92.4,77.0,1.1700865265760199
128,140,39.00142327071429,-76.99642187221428,65.84375,67.5,0.24196875921013852
129,243,38.995327089465015,-77.0008568960494,81.45333333333333,69.0,0.7489264242771256
130,144,38.99609544833333,-76.99607533729166,82.55172413793103,77.5,0.8472222222222222
131,75,38.99715069493333,-76.99340284933332,125.68571428571428,120.0,9.498806682577566
132,190,38.99919643110526,-76.17984783157895,107.63461538461539,107.0,2.2231500143967753
133,211,39.001860759526075,-76.99319045170616,79.21900826446281,78.0,0.6431816233821891
134,109,39.01036692110092,-76.99896565504588,85.45238095238095,88.0,0.5903400908385953
135,-1,-1.0,1.0,83.83018867924528,72.0,0.8778529163144547
136,125,39.01440123463999,-76.98336810119999,71.68261964735517,73.0,0.41511685728493286
137,143,39.016388238461545,-77.00004664251749,84.78064516129032,89.0,1.720703933747412
138,166,39.014503982951815,-76.97689687228915,110.20547945205479,111.0,2.4631941455015065
139,69,38.98269608724637,-77.0006445210145,-1.0,-1.0,-1.0
140,74,39.02122545716217,-76.97968004797298,97.07377049180327,86.0,1.041192692175112
141,66,39.02510958530305,-76.97523994818182,50.641176470588235,43.5,0.20027884280237016
142,14,39.035616624999996,-76.9881953892857,78.68559411146163,54.0,1.2809156582436676
143,133,39.024856724887215,-76.98549122781955,66.83219178082192,63.0,0.3352719808416011
144,168,39.034480245357145,-76.99769363059525,75.38181818181818,74.0,0.44422189323347555
145,689,39.04339966795356,-76.98410668384616,87.78435517970402,87.0,1.7029032678036713
146,432,39.05431555122685,-76.96151567192129,124.53565365025467,123.0,4.98177370030581
147,142,39.05924042028169,-76.97094912598591,67.590799031477,62.0,0.302187806129589
148,219,39.04651167018264,-76.99104453315067,81.15802469135802,76.0,0.4631855413105413
149,67,39.069354123731344,-76.99432200119402,78.41373239436619,77.0,0.3559946416610851
150,124,39.064032698467756,-77.00745189596775,60.7890870933893,58.0,0.1040765375159612
151,37,39.04856380837838,-76.99849508513513,48.751227495908346,46.0,0.027137931034482757
152,110,39.03827371536363,-77.00193516645454,55.23732718894009,51.5,0.06315135926205154
153,34,39.018555236764705,-77.00350247852941,63.08247422680412,63.0,0.1445940890385335
154,53,39.02466613867925,-77.00710413490565,54.08270676691729,51.0,0.11071649166151945
155,57,39.020429031052636,-77.01235095543859,104.87301587301587,104.0,2.091717360786149
156,67,39.01960268656717,-77.01284841522389,135.9264705882353,137.0,6.490275526742302
157,79,39.02195866594937,-77.01355781215187,70.6470588235294,65.0,0.2900107411385607
158,152,39.03316053263157,-77.01877543105263,83.90220048899755,82.0,0.45703125
